10 MM - II,20 MM - II,CEMENT OPC GRADE 43,CEMENT OPC GRADE 53,CEMENT PPC,CRUSHED STONE SAND II,FLY ASH,GGBS,GRADE,NATURAL SAND-COARSE,NATURAL SAND-FINE,RMC ADMX - HIGH PC,RMC ADMX - MID PC,SLUMP / FLOW,WATER,W/C,BLEND_OPC+GGBS,BLEND_OPC+PFA,BLEND_OPC+PFA+GGBS,BLEND_PPC,BLEND_PPC+GGBS,BLEND_PPC+PFA,BLEND_PPC+PFA+GGBS,DISTANCE_Medium,DISTANCE_Short,SPECIFIED SLUMP_175,SPECIFIED SLUMP_225,SPECIFIED SLUMP_25 ± 15,SPECIFIED SLUMP_75
1083.231,0.0,0.0,0.0,219.231,0.0,139.385,0.0,20,780.923,0.0,0.0,1.112,140,144.017,0.4015911169607603,0,0,0,0,0,1,0,1,0,0,0,0,0
571.167,574.0,0.0,219.833,0.0,384.0,103.333,69.0,30,379.0,0.0,0.0,2.083,120,153.918,0.3924817551751044,0,0,1,0,0,0,0,1,0,1,0,0,0
566.286,570.857,0.0,219.571,0.0,371.143,102.857,69.143,30,373.429,0.0,0.0,2.406,120,174.583,0.445852731688506,0,0,1,0,0,0,0,1,0,1,0,0,0
573.556,549.778,0.0,220.667,0.0,369.778,102.889,68.889,30,372.0,0.0,0.0,2.14,120,183.36,0.4672247066467913,0,0,1,0,0,0,0,1,0,1,0,0,0
625.714,627.429,0.0,260.286,0.0,0.0,118.857,0.0,30,799.714,0.0,2.091,0.0,100,115.897,0.3056814974824802,0,1,0,0,0,0,0,1,0,0,0,0,0
582.0,577.143,0.0,165.429,0.0,0.0,98.429,66.0,25,820.286,0.0,0.0,1.354,140,121.787,0.3692103875000758,0,0,1,0,0,0,0,1,0,0,0,0,0
609.0,608.714,0.0,165.0,0.0,0.0,98.429,66.0,25,729.286,0.0,0.0,1.647,120,140.244,0.4257184400887597,0,0,1,0,0,0,0,1,0,0,0,0,0
621.167,620.5,0.0,0.0,249.167,0.0,0.0,166.5,30,0.0,697.667,0.0,1.402,140,124.358,0.2991769854234279,0,0,0,0,1,0,0,1,0,0,0,0,0
534.769,651.077,0.0,0.0,319.692,0.0,0.0,102.154,30,0.0,754.154,0.0,1.3,140,138.258,0.3277451961142218,0,0,0,0,1,0,0,1,0,0,0,0,0
619.429,618.143,0.0,0.0,207.286,0.0,0.0,206.857,30,0.0,662.429,0.0,1.333,140,160.403,0.3873130778499214,0,0,0,0,1,0,0,1,0,1,0,0,0
587.857,636.429,0.0,0.0,212.143,0.0,0.0,212.143,35,0.0,708.0,0.0,1.267,120,128.593,0.3030809406862352,0,0,0,0,1,0,0,1,0,0,0,0,0
619.714,617.857,0.0,0.0,206.714,0.0,0.0,207.143,30,0.0,698.0,0.0,1.243,120,127.397,0.3078285494748186,0,0,0,0,1,0,0,1,0,1,0,0,0
682.571,516.429,0.0,0.0,149.714,0.0,0.0,150.0,20,0.0,834.429,0.0,1.186,120,125.681,0.419336434067144,0,0,0,0,1,0,0,1,0,0,0,0,0
620.143,619.857,0.0,0.0,208.0,0.0,0.0,206.857,30,0.0,705.857,0.0,1.249,120,115.339,0.2780211012469357,0,0,0,0,1,0,0,1,0,0,0,0,0
620.0,623.143,0.0,0.0,206.143,0.0,0.0,207.429,30,0.0,677.0,0.0,1.499,140,145.374,0.3515083226137166,0,0,0,0,1,0,0,1,0,1,0,0,0
619.143,620.429,0.0,0.0,206.143,0.0,0.0,206.571,30,0.0,663.0,0.0,1.403,140,160.471,0.3888188915326352,0,0,0,0,1,0,0,1,0,0,0,0,0
564.143,566.286,0.0,0.0,241.857,0.0,0.0,239.714,40,0.0,791.143,0.0,1.616,150,109.294,0.2269530349626535,0,0,0,0,1,0,0,1,0,0,0,0,1
620.8,619.8,0.0,0.0,206.8,0.0,0.0,207.0,30,0.0,688.2,0.0,1.406,150,142.24,0.3437409376510391,0,0,0,0,1,0,0,1,0,0,0,0,0
583.833,630.167,0.0,0.0,333.167,0.0,0.0,116.167,35,0.0,701.667,0.0,1.345,150,136.822,0.3044995482202549,0,0,0,0,1,0,0,1,0,0,0,0,0
581.857,630.571,0.0,0.0,332.714,0.0,0.0,115.857,35,0.0,695.429,0.0,1.444,140,141.919,0.3163802385798458,0,0,0,0,1,0,0,1,0,0,0,0,0
600.857,601.143,0.0,0.0,270.0,0.0,0.0,70.286,25,0.0,756.714,0.0,1.49,130,152.929,0.4494131407110489,0,0,0,0,1,0,0,1,0,0,0,0,0
619.714,619.286,0.0,0.0,206.857,0.0,0.0,206.857,30,0.0,661.286,0.0,1.356,140,161.463,0.3902768579260069,0,0,0,0,1,0,0,1,0,0,0,0,0
598.429,600.571,0.0,0.0,269.714,0.0,0.0,70.143,25,0.0,750.714,0.0,1.381,140,158.673,0.4668816590507184,0,0,0,0,1,0,0,1,0,0,0,0,0
557.143,680.143,0.0,395.286,0.0,0.0,0.0,0.0,30,0.0,703.286,0.0,1.484,120,143.54,0.363129480932793,0,0,0,0,0,0,0,1,0,0,0,0,0
619.167,620.667,0.0,0.0,210.5,0.0,0.0,206.667,30,0.0,669.5,0.0,1.388,120,154.028,0.3692238360177099,0,0,0,0,1,0,0,1,0,0,0,0,0
620.4,617.6,0.0,0.0,209.2,0.0,0.0,207.4,30,0.0,663.8,0.0,1.4,120,153.614,0.3687325972155545,0,0,0,0,1,0,0,1,0,0,0,0,0
478.143,716.0,0.0,0.0,233.0,0.0,0.0,232.571,35,0.0,673.571,0.0,1.747,140,154.347,0.3315219375777271,0,0,0,0,1,0,0,1,0,0,0,0,0
586.6,633.6,0.0,0.0,212.8,0.0,0.0,212.4,35,0.0,708.4,0.0,1.408,150,130.634,0.3072295390404515,0,0,0,0,1,0,0,1,0,0,0,0,0
617.0,619.0,0.0,0.0,207.333,0.0,0.0,207.0,30,0.0,676.333,0.0,1.4,150,150.237,0.3625996481091296,0,0,0,0,1,0,0,1,0,0,0,0,0
480.429,716.286,0.0,0.0,239.857,0.0,0.0,79.571,20,0.0,799.857,0.0,1.491,140,150.666,0.4716743679326796,0,0,0,0,1,0,0,1,0,0,0,0,0
